GT_Point,East,North,Matching_Point_Index,Matching_Point_East,Matching_Point_North,Error_Distance,Is_Turn_Region,Segment_ID
0,0.0,0.0,0,0.0,0.0,0.0,False,1
1,2.36328005838949,9.146582149554328,51,-5.096375934172013,11.250740541464944,7.750738678707121,True,Turn Region
2,-7.890535994429637,12.074723823335754,58,-7.403301060034175,11.272773249048257,0.9383616599666661,True,Turn Region
3,-2.945795962179781,29.717131207922225,121,-7.730802729619886,28.950207179527215,4.846076993793767,True,Turn Region
4,-5.891050156382427,31.235470483299018,148,-8.879306497772294,35.36934497125542,5.100842503355067,True,Turn Region
5,-4.545891790749777,41.35812570889586,158,-8.116201286888842,38.57840694423264,4.5248145054622535,True,Turn Region
6,-24.362646440836592,48.55205673168508,224,-28.310809629417687,45.57710143535261,4.943516114957393,True,Turn Region
7,-17.01827926963054,76.53398511096168,309,-20.361709353670427,72.37750906871958,5.334305748323352,False,180
