East_m,North_m,Step,Timestamp_ms,Heading_Degrees
0.0,0.0,0.0,1740465051691,
0.0006367548407726464,0.3299993856710536,0.5,1740465068543,0.11055571999997937
0.029958288075466126,0.6586941493786107,1.0,1740465068854,5.097631999999976
0.08212420415553151,0.9845449084686082,1.5,1740465071515,9.095385000000022
0.13344071326851475,1.3105305153478952,2.0,1740465071981,8.946060999999986
0.16966240169335606,1.6385365965227017,2.5,1740465072293,6.301635999999974
0.20348332319186935,1.9667989082019308,3.0,1740465072654,5.882437999999979
0.2569052690405227,2.2924461033406938,3.5,1740465072913,9.316306999999995
0.3073587093829168,2.6185664037784564,4.0,1740465073274,8.794398000000001
0.348908065708295,2.9459402741299963,4.5,1740465073514,7.233144999999979
0.3875235084881106,3.273673164726773,5.0,1740465073915,6.719946999999991
0.4439666951568194,3.5988103152935476,5.5,1740465074233,9.84829000000002
0.4907659837620265,3.925475015844505,6.0,1740465074594,8.152945499999987
0.5364117934815152,4.252302891116876,6.5,1740465074835,7.950680299999988
0.5890424345066635,4.578078911758792,7.0,1740465075413,9.177108999999973
0.6441149246567669,4.903451038451701,7.5,1740465075553,9.606832999999995
0.6921310520826619,5.229939095671288,8.0,1740465076017,8.366431999999975
0.7430774304763488,5.555982753067912,8.5,1740465076133,8.881011999999998
0.8033761099596839,5.880426999823138,9.0,1740465076515,10.528422999999975
0.8724913502728143,6.20310808627919,9.5,1740465076777,12.08954399999999
0.9081359857701722,6.531177377680048,10.0,1740465077255,6.2008467
0.936020779514638,6.859997143323521,10.5,1740465077374,4.847237599999971
0.972312887697762,7.187995440397796,11.0,1740465077974,6.31393700000001
1.0096809240962217,7.5158729020442525,11.5,1740465078093,6.501917999999989
1.0367200751428274,7.844763285471131,12.0,1740465078473,4.699903000000006
1.0549251135536408,8.174260746123654,12.5,1740465078734,3.1624292999999852
1.0675561181608832,8.504018926799452,13.0,1740465079113,2.1935760000000073
1.09263325939755,8.833064724504569,13.5,1740465079415,4.358184300000005
1.089090564305551,9.163045707761915,14.0,1740465079876,359.3848928
1.080590464222355,9.492936217323157,14.5,1740465080015,358.524019
1.0866068593325444,9.822881368810307,15.0,1740465080593,1.0446458999999777
1.0962167645166458,10.152741414469602,15.5,1740465080694,1.6687420000000088
1.108289910166092,10.482520490752691,16.0,1740465081035,2.0966505999999754
0.8001028542059081,10.600506670191617,16.5,1740465104933,290.94882
0.4778066926131696,10.67139520397944,17.0,1740465105193,282.4046
0.14925312645449196,10.702258680199973,17.5,1740465105573,275.36647
-0.17926425512115252,10.733504960021456,18.0,1740465105873,275.43323
-0.5085813269491986,10.754724436984887,18.5,1740465106373,273.686745
-0.8384905655940844,10.762463574969942,19.0,1740465106654,271.34382
-1.1671304536864304,10.792393893288502,19.5,1740465107033,275.20376
-1.4922990528153846,10.848655622203578,20.0,1740465107293,279.81631500000003
-1.819042422537584,10.894902463637152,20.5,1740465107635,278.05606
-2.1484751318030546,10.914243871704093,21.0,1740465107993,273.36005
-2.4769483078039847,10.945951483532518,21.5,1740465108177,275.513695
-2.803598441652047,10.992852337011351,22.0,1740465108553,278.17076
-3.131125292627583,11.033178034650064,22.5,1740465108753,277.01903500000003
-3.4601424047404006,11.058628770139268,23.0,1740465109113,274.42324
-3.785952160939095,11.111050166207546,23.5,1740465109453,279.14031
-4.110237619078225,11.172197051978571,24.0,1740465109714,280.67825
-4.437551422307751,11.214216978387636,24.5,1740465109993,277.31551
-4.767370708962557,11.225136600657422,25.0,1740465110273,271.89625
-5.096375934172013,11.250740541464943,25.5,1740465110475,274.44992
-5.425440963896235,11.275564042680461,26.0,1740465110853,274.31402
-5.75482152063849,11.295774159952806,26.5,1740465111053,273.51115
-6.084685375548166,11.286295909896593,27.0,1740465111473,268.354126
-6.414669157710103,11.283024287958828,27.5,1740465111654,269.43196
-6.744280773280474,11.299030001972564,28.0,1740465112053,272.78006
-7.074279648337132,11.29816834000862,28.5,1740465112233,269.850395
-7.403301060034175,11.272773249048255,29.0,1740465112633,265.58645
-7.733153937734504,11.262920377750419,29.5,1740465112814,268.289055
-8.061878716800878,11.2919034698519,30.0,1740465113213,275.03864
-8.390704022939016,11.319722852360506,30.5,1740465113393,274.83584
-8.720695363287884,11.317332184094665,31.0,1740465113753,269.58492
-9.050672505035184,11.32121624437772,31.5,1740465113953,270.67438
-9.379380449958369,11.35038963883872,32.0,1740465114353,275.07181
-9.708629134783394,11.372645054831047,32.5,1740465114538,273.867
-10.038588919554199,11.377796795702192,33.0,1740465114953,270.8945
-10.368313828538396,11.391268410132664,33.5,1740465115139,272.33964000000003
-10.3408789836078,11.720126022608998,34.0,1740465121862,4.7688400000000115
-10.296949401414224,12.047189000960717,34.5,1740465121954,7.64991950000001
-10.238100411408315,12.371899327829581,35.0,1740465122473,10.272517999999991
-10.181634162844736,12.697032474053026,35.5,1740465122573,9.852353999999991
-10.117804343125904,13.02080053009726,36.0,1740465123074,11.152654999999982
-10.059178640226795,13.34555124519976,36.5,1740465123354,10.233120999999983
-10.008602426916243,13.67165252800491,37.0,1740465123533,8.815968499999997
-9.93778281383143,13.993963840872638,37.5,1740465124499,12.392348000000027
-9.887037577089911,14.320038864368838,38.0,1740465124793,8.845666999999992
-9.84109701628433,14.646825438255938,38.5,1740465124893,8.00235600000002
-9.802591548742692,14.974571268083565,39.0,1740465125233,6.700720999999987
-9.74528920993677,15.299558101612819,39.5,1740465125494,9.999725000000012
-9.687584253529215,15.624473687582471,40.0,1740465125873,10.070715000000007
-9.635764095413936,15.950379611451472,40.5,1740465126114,9.034594000000027
