step,Walked_distance,Compass_X,Compass_Y,Gyro_X,Gyro_Y,GT_X,GT_Y,Gyro_Error_X,Gyro_Error_Y,Gyro_Distance_Error,Compass_Error_X,Compass_Error_Y,Compass_Distance_Error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.33,0.034775292778019135,0.3281625801522822,-0.012255434578250875,0.32977235227243995,0.07016725740686525,0.27156772292073583,0.08242269198511612,0.05820462935170412,0.10090232421526564,0.03539196462884611,0.05659485723154639,0.06675004887899794
1.0,0.66,0.022278481326306596,0.6579258735970506,0.004202978541014054,0.6593616734550225,0.1403345148137305,0.5431354458414717,0.13613153627271643,0.11622622761355084,0.1789981317032299,0.1180560334874239,0.1147904277555789,0.16466350338521446
1.5,0.99,0.010705813623705712,0.9877228920223924,0.043599439418347666,0.9870015960382461,0.21050177222059574,0.8147031687622075,0.1669023328022481,0.1722984272760386,0.23988150561606192,0.19979595859689003,0.1730197232601849,0.26429954541898315
2.0,1.32,-0.03196596273426157,1.314952352038534,0.0821418737907901,1.3147430806761327,0.280669029627461,1.0862708916829433,0.19852715583667088,0.22847218899318933,0.30267568905998615,0.31263499236172254,0.22868146035559067,0.38734461240525847
2.5,1.6500000000000001,-0.12146924540984712,1.6325828958945905,0.10552207875067011,1.6439138054012121,0.35083628703432623,1.3578386146036792,0.24531420828365613,0.28607519079753296,0.37685285666382035,0.47230553244417334,0.27474428129091133,0.5464036384207498
3.0,1.98,-0.21293327665474499,1.9496543878146815,0.12649333957679448,1.9732467770565911,0.4210035444411915,1.629406337524415,0.294510204864397,0.34384043953217613,0.45272785271832916,0.6339368210959364,0.3202480502902665,0.7102356699405757
3.5,2.31,-0.332046721666317,2.257407514878364,0.16715282381503077,2.3007323589399475,0.4911708018480567,1.9009740604451508,0.32401797803302596,0.3997582984947967,0.5145817207247703,0.8232175235143737,0.3564334544332133,0.8970685026575907
4.0,2.64,-0.4966616022379309,2.543417901218429,0.20482758633312356,2.6285747178095806,0.561338059254922,2.1725417833658867,0.3565104729217984,0.45603293444369397,0.5788486456754052,1.0579996614928528,0.3708761178525424,1.1211210365131699
4.5,2.97,-0.6730504526772366,2.8223210626216306,0.23355609010516493,2.957321844140777,0.6315053166617872,2.4441095062866225,0.3979492265566223,0.5132123378541547,0.6494231984174424,1.3045557693390237,0.37821155633500814,1.358274543919999
5.0,3.3000000000000003,-0.8027711833621559,3.1257556223385006,0.2593388945401018,3.28631310085662,0.7016725740686525,2.7156772292073583,0.4423336795285507,0.5706358716492619,0.7220002645831783,1.5044437574308085,0.41007839313114225,1.5593316862635573
5.5,3.6300000000000003,-0.9510248416178194,3.4205790488395387,0.30303723861992427,3.613407054828077,0.7718398314755177,2.987244952128094,0.46880259285559345,0.6261621026999826,0.7822115122687666,1.722864673093337,0.4333340967114445,1.7765250128173637
6.0,3.96,-1.1192578072148627,3.7044763353472194,0.3370393713909119,3.941650645728225,0.842007088882383,3.25881267504883,0.5049677174914711,0.6828379706793952,0.8492703279345751,1.9612648960972456,0.44566366029838944,2.0112623127712355
6.5,4.29,-1.2849376951538867,3.9898711053282274,0.3698825312396983,4.270012225166422,0.9121743462892482,3.530380397969566,0.5422918150495499,0.739631827196856,0.9171344789464058,2.197112041443135,0.4594907073586616,2.2446454136017526
7.0,4.62,-1.4432938762212948,4.279393677708597,0.40974628202936164,4.597595621224555,0.9823416036961135,3.8019481208903017,0.5725953216667519,0.7956475003342529,0.9802654473063895,2.4256354799174082,0.4774455568182949,2.4721775302675346
7.5,4.95,-1.6214186398670594,4.557191389319295,0.45206579638741146,4.9248708245389805,1.0525088611029787,4.0735158438110375,0.6004430647155672,0.851354980727943,1.0417951704511301,2.673927500970038,0.4836755455082571,2.717320428982674
8.0,5.28,-1.7988044480070862,4.835461536964545,0.4872907398116148,5.252985443781649,1.122676118509844,4.345083566731773,0.6353853786982291,0.9079018770498761,1.1081517936700642,2.92148056651693,0.49037797023277196,2.9623502922891642
8.5,5.61,-2.0269952688143897,5.0738497692649025,0.525461058215982,5.580770475155734,1.1928433759167092,4.616651289652509,0.6673823177007272,0.9641191855032245,1.1725719431382433,3.219838644731099,0.45719847961239335,3.2521364282366267
9.0,5.94,-2.2418465154667846,5.324327197014215,0.5730390208461456,5.907322672318703,1.2630106333235744,4.888219012573245,0.6899716124774289,1.0191036597454577,1.230704308650656,3.504857148790359,0.43610818444097,3.5318853296735564
9.5,6.2700000000000005,-2.444150439681893,5.585043752390293,0.6294956934236385,6.232457481469427,1.3331778907304397,5.159786735493981,0.7036821973068011,1.0726707459754463,1.28288392463155,3.777328330412333,0.4252570168963121,3.801190977332653
10.0,6.6000000000000005,-2.651992365189575,5.841367247219111,0.6522968165953058,6.561668825110727,1.403345148137305,5.431354458414717,0.7510483315419991,1.1303143666960107,1.3570866456757373,4.055337513326879,0.4100127888043943,4.076011878537573
10.5,6.930000000000001,-2.876271800116342,6.083439003252172,0.6673147036699925,6.89132692537191,1.4735124055441702,5.7029221813354525,0.8061977018741777,1.1884047440364576,1.4360573004429746,4.349784205660512,0.38051682191671965,4.366396189946035
11.0,7.260000000000001,-3.098670684778647,6.327239610513439,0.6907655787248659,7.22049262294558,1.5436796629510354,5.974489904256188,0.8529140842261695,1.2460027186893914,1.5099619896052747,4.642350347729682,0.3527497062572511,4.655732929016706
