segment,start_step,end_step,distance,time,speed
1,0.0,16.0,8.97555633238516,16.0,0.5609722707740725
2,16.0,33.5,10.131592274640093,17.5,0.5789481299794339
3,33.5,60.5,17.40797240730563,27.0,0.6447397187890973
4,60.5,64.0,3.1482413290064,3.5,0.8994975225732571
5,64.0,79.0,9.702078919862501,15.0,0.6468052613241667
6,79.0,112.5,20.03013498269314,33.5,0.5979144770953176
7,112.5,154.5,27.486114434866487,42.0,0.6544312960682497
