Trajectory,Mean_Error,Median_Error,Max_Error,Std_Error,Error_Reduction_%
Original_Compass,6.765168953559574,6.34328271913622,17.25380777125598,3.857915607395967,
Original_Gyro,27.51603455558404,27.450611150535075,59.11430119160509,15.988269279543735,
Corrected_Compass,7.355604719201458,6.248823444458047,18.994884060691565,4.525514497895584,-8.727583445365687
Corrected_Gyro,18.858494204306066,17.768136672682047,43.620940362601836,11.873487974474637,31.463619271843925
