Method,Avg_Error_X,Avg_Error_Y,Avg_Distance_Error
Compass (Traditional),7.634112150425921,28.385451169842923,29.750296361353012
Gyro (Traditional),7.78923728620917,28.3740160917544,29.780705876068424
Compass (LSTM),7.721637925962568,28.371502231892666,29.760401528152777
Gyro (LSTM),7.721637925962568,28.371502231892666,29.760401528152777
