Compass_X,Compass_Y,step,Gyro_X,Gyro_Y,GT_X,GT_Y,Walked_distance,Gyro_Error_X,Gyro_Error_Y,Gyro_Distance_Error,Compass_Error_X,Compass_Error_Y,Compass_Distance_Error
0.0,0.0,17.5,0.0,0.0,0.0,0.0,11.55,0.0,0.0,0.0,0.0,0.0,0.0
0.07977777484686287,0.3202116591264023,18.0,0.049253471160739457,0.3263036861247789,0.10702088799592399,0.35560829548950434,11.88,0.057767416835184535,0.029304609364725454,0.06477526208228815,0.027243113149061124,0.03539663636310203,0.04466664392893453
0.12597606257686556,0.6469618973984133,18.5,0.08555824796773717,0.6543005812030618,0.21404177599184798,0.7112165909790087,12.21,0.1284835280241108,0.05691600977594691,0.140525617388212,0.08806571341498243,0.06425469358059543,0.10901484085401413
0.1691425882150852,0.974126460064245,19.0,0.12305699568037191,0.9821631193497433,0.32106266398777195,1.066824886468513,12.540000000000001,0.19800566830740002,0.08466176711876972,0.2153459066096519,0.15192007577268674,0.09269842640426806,0.17796827717491223
0.2509946681608901,1.293814178014975,19.5,0.14565155667754304,1.3113887043417745,0.42808355198369596,1.4224331819580174,12.870000000000001,0.2824319953061529,0.11104447761624292,0.30347768942984765,0.17708888382280585,0.12861900394304238,0.2188682730523261
0.29920029557009864,1.6202743095564613,20.0,0.168592650601749,1.6405903237326287,0.53510443997962,1.7780414774475217,13.200000000000001,0.366511789377871,0.13745115371489303,0.3914380045556691,0.23590414440952134,0.15776716789106038,0.2837978939561644
0.3654425740925458,1.9435574061392467,20.5,0.20211925801471128,1.9688828253152526,0.6421253279755439,2.133649772937026,13.530000000000001,0.4400060699608326,0.16476694762177346,0.4698441109889251,0.27668275388299807,0.1900923667977794,0.33569101002419055
0.4183614962141441,2.2692867227220317,21.0,0.22676043537973609,2.297961558110408,0.7491462159714679,2.4892580684265306,13.860000000000001,0.5223857805917318,0.1912965103161226,0.5563103977309424,0.3307847197573238,0.21997134570449894,0.3972479373841725
0.5140297846243153,2.585115123269969,21.5,0.24250755577729188,2.6275856291355457,0.8561671039673919,2.8448663639160348,14.190000000000001,0.6136595481901,0.21728073478048904,0.65099075169439,0.3421373193430767,0.2597512406460658,0.4295679833325999
0.6394830918970527,2.890338758813372,22.0,0.27883305565704936,2.9555802297900167,0.963187991963316,3.200474659405539,14.520000000000001,0.6843549363062666,0.2448944296155222,0.7268527777366378,0.3237049000662633,0.3101359005921669,0.4482958165798828
0.7096252179579341,3.212798185953686,22.5,0.31618239072993415,3.2834598222772793,1.07020887995924,3.5560829548950434,14.850000000000001,0.7540264892293058,0.27262313261776416,0.8017975548090649,0.36058366200130587,0.3432847689413574,0.4978604321387603
0.8941566891869391,3.4863820599778306,23.0,0.3472228471800266,3.611996715279222,1.177229767955164,3.911691250384548,15.180000000000001,0.8300069207751374,0.29969453510532595,0.8824558362357986,0.28307307876822485,0.42530919040671744,0.5108994767737965
0.9281907835050195,3.8146223384689812,23.5,0.36192634914189586,3.9416689874375845,1.2842506559510878,4.267299545874052,15.510000000000002,0.922324306809192,0.3256305584364676,0.9781193114946163,0.3560598724460683,0.4526772074050709,0.5759299322577044
0.9818231568997633,4.140234943452337,24.0,0.38943018403852303,4.27052083716019,1.3912715439470118,4.622907841363556,15.84,1.0018413599084888,0.3523870042033659,1.0620088093583373,0.4094483870472485,0.48267289791121915,0.6329463705825381
1.0422776420850284,4.46465019466748,24.5,0.43962890908648333,4.596680442267198,1.4982924319429358,4.978516136853061,16.17,1.0586635228564525,0.3818356945858632,1.1254185675946098,0.45601478985790744,0.5138659421855811,0.6870281618008293
1.023757865866358,4.7941301149794935,25.0,0.4635764750042872,4.925810377226953,1.6053133199388598,5.334124432342565,16.5,1.1417368449345726,0.40831405511561236,1.2125524280154272,0.5815554540725019,0.5399943173630719,0.7935997788217206
1.0503006352201874,5.1230609304939865,25.5,0.49009310009847407,5.2547433013826454,1.7123342079347839,5.6897327278320695,16.830000000000002,1.2222411078363098,0.43498942644942407,1.2973392489274842,0.6620335727145965,0.566671797338083,0.8714386824668884
0.9927108856894741,5.447996956119016,26.0,0.526642136596095,5.582713068176927,1.8193550959307079,6.045341023321574,17.16,1.292712959334613,0.4626279551446464,1.3730008813227215,0.8266442102412338,0.5973440672025578,1.0198826329276556
1.1020030011341877,5.759373309591176,26.5,0.5675045804359312,5.910173387427117,1.926375983926632,6.400949318811078,17.490000000000002,1.3588714034907006,0.49077593138396036,1.4447811273859372,0.8243729827924442,0.6415760092199019,1.044610257639014
1.2699163407889202,6.043459758345766,27.0,0.6081962467359663,6.237654972090632,2.0333968719225557,6.756557614300583,17.82,1.4252006251865894,0.5189026422099507,1.5167256753034524,0.7634805311336355,0.7130978559548167,1.0447062140082515
1.3967713152381396,6.3481035100583,27.5,0.6320786706774508,6.566789640314262,2.14041775991848,7.112165909790087,18.150000000000002,1.508339089241029,0.5453762694758248,1.603908377507838,0.7436464446803404,0.7640623997317872,1.0662088844919686
1.4797752888507802,6.667494086570056,28.0,0.6721212474903979,6.894351225427931,2.2474386479144037,7.467774205279591,18.48,1.5753174004240058,0.5734229798516601,1.6764363471067445,0.7676633590636235,0.8002801187095354,1.108943326437647
1.5940067781419627,6.977092482648457,28.5,0.711942314626124,7.221939812854557,2.354459535910328,7.823382500769096,18.810000000000002,1.642517221284204,0.6014426879145391,1.7491701258199697,0.7604527577683653,0.846290018120639,1.1377588459634773
