Time_relative,compass
7.049,39.81247
7.068,36.19577
7.088,33.795685
7.108,28.785797
7.129,23.687256
7.149,26.156982
7.168,29.538544
7.188,31.195251
7.208,30.909332
7.228,27.047668
7.248,25.247955
7.268,25.07721
7.288,26.785889
7.308,28.045929
7.328,25.722473
7.348,26.472992
7.369,28.583801
7.388,29.219543
7.408,26.656647
7.428,20.411621
7.448,21.179565
7.468,21.914703
7.488,25.702576
7.508,25.037018
7.529,22.32782
7.548,16.827118
7.568,12.180634
7.588,16.664886
7.609,18.61502
7.628,17.749878
7.648,20.30426
7.669,19.596527
7.688,16.752014
7.708,16.10373
7.728,15.470764
7.748,15.213654
7.768,15.831757
7.788,15.693634
7.808,16.87024
7.828,17.36435
7.848,16.36142
7.868,11.551941
7.888,8.684753
7.908,2.715088
7.928,357.61536
7.948,354.16797
7.968,353.07278
7.988,352.06067
8.008,352.59344
8.028,353.4293
8.048,354.09003
8.068,353.5602
8.089,351.66522
8.108,346.77432
8.128,342.4989
8.148,338.71457
8.168,337.41486
8.189,334.45715
8.208,332.21548
8.229,329.8173
8.248,326.6971
8.268,322.52252
8.288,319.52673
8.309,317.01
8.328,313.87354
8.348,311.60736
8.368,310.13397
8.389,308.92786
8.408,307.8385
8.428,306.6111
8.448,306.01132
8.469,304.62827
8.488,304.6809
8.508,305.43875
8.528,307.44614
8.548,308.56033
8.568,309.06876
8.588,308.64655
8.608,307.8273
8.628,307.772
8.648,307.65576
8.668,308.5544
8.688,308.27042
8.709,308.4029
8.729,310.9911
8.748,312.26978
8.768,315.57864
8.788,313.75546
8.808,312.0066
8.828,309.64554
8.848,311.63394
8.868,313.73126
8.888,315.09116
8.908,314.52444
8.929,322.87604
8.949,328.3813
8.968,317.15555
8.988,311.55878
9.008,309.0871
9.028,311.7875
9.049,311.25876
9.068,309.9857
9.088,312.99118
9.108,313.18643
9.129,312.23254
9.148,308.20438
9.168,303.436
9.188,302.97705
9.209,303.98083
9.228,303.73804
9.248,306.40442
9.269,309.88098
9.291,311.56488
9.309,311.7966
9.329,311.5368
9.348,311.85223
9.37,311.11984
9.389,312.45676
9.408,313.5991
9.428,315.8863
9.448,316.665
9.469,317.85196
9.488,317.8923
9.508,318.99265
9.528,322.23135
9.548,323.9997
9.568,321.48672
9.588,318.44693
9.608,318.42755
9.628,321.7273
9.648,328.03568
9.668,330.47852
9.688,327.25412
9.708,329.82504
9.728,333.2603
9.748,334.17996
9.769,333.6465
9.788,334.69513
9.808,335.03757
9.828,334.2792
9.849,337.31378
9.868,339.02283
9.888,338.6624
