Method,Mean_Error,Median_Error,Max_Error,Std_Dev,Improvement_%
Original Gyro,27.51603455558404,27.450611150535075,59.11430119160509,16.014119368015542,
Original Compass,6.765168953559574,6.34328271913622,17.25380777125598,3.8641531468084134,
Corrected Gyro,18.858494204306066,17.768136672682047,43.620940362601836,11.892685218982008,31.463619271843925
Corrected Compass,7.355604719201461,6.248823444458047,18.994884060691565,4.5328314218293535,-8.727583445365726
