Method,Mean_Error,Median_Error,Max_Error,Improvement_over_Compass_%,Improvement_over_Gyro_%
Compass,6.276785504131271,6.270796621356832,10.198536633219923,,
Gyro,18.803660630731468,21.012011071249617,43.620940362601836,,
LSTM Fused,3.554273752572714,3.1713702701389597,6.26917286385947,43.374299627837324,81.09796904777231
