Quasi_Static_Interval_Number,Compass_Heading_mean,Compass_Heading_std,gyro_magnitude_mean,gyro_magnitude_std,Step_mean,Step_min,Step_max,num_points
0,7.156304716153836,2.7084894679173073,322.74478144370494,27.35318766394451,6.25,0.0,12.5,26
1,273.8589468,4.028552655219664,309.0068548848788,2.3803126309252045,25.25,20.5,30.0,20
2,18.953077261538457,55.750507636547844,337.0385064971584,6.949291420387234,47.5,38.0,57.0,39
3,286.54302942,3.297795498510351,303.197958220558,12.521126003125463,95.75,83.5,108.0,50
4,17.120975333333337,4.423695830401934,317.0962096556901,27.164126756008297,135.25,116.0,154.5,78
