step,heading,x,y
0.0,7.156960983916604,0.0,0.0
0.5,3.38927804261107,0.020691848963457753,0.34938781802815255
1.0,6.736993161305534,0.06175103349878658,0.6969711078527553
1.5,9.095385,0.11707852025037097,1.042570397796692
2.0,7.156960983916619,0.16068430238513326,1.3898433966958517
2.5,4.640328842208289,0.18899948026564084,1.7386961603391904
3.0,4.348923700499959,0.21554004168634938,2.087688421857227
3.5,7.910585558791629,0.2637096817855908,2.434357840428738
4.0,7.516469417083298,0.3094935924200084,2.7813503958633174
4.5,6.08300927537497,0.3465828129906449,3.1293796902013984
5.0,5.69760413366664,0.381330162220225,3.4776505929789883
5.5,8.95373999195831,0.4358030999668717,3.823385605746353
6.0,7.386188350249979,0.4807978896016984,4.170481369053423
6.5,7.31171600854165,0.5253414905985604,4.517635322812029
7.0,8.66593756683332,0.5780770869191125,4.863639595734656
7.5,9.22345442512499,0.6341769297979297,5.2091143525968215
8.0,8.11084628341666,0.6835579552728122,5.5556132910122935
8.5,8.75321914170833,0.7368205761064538,5.901536827681789
9.0,10.528423,0.8007737210130215,6.24564436211915
9.5,12.089544,0.874077763769372,6.587881878057387
10.0,6.2008467,0.9118826802059636,6.935834156815872
10.5,4.8472376,0.9414574614500942,7.2845823931044045
11.0,6.313937,0.9799490913412863,7.632459374849848
11.5,6.501918,1.0195818572184405,7.980208197808211
12.0,4.699903,1.0482597446921131,8.329031331745808
12.5,3.1624293,1.0675681187641881,8.67849833546818
13.0,2.193576,1.0809646388021725,9.028241860427359
13.5,4.3581843,1.1075616067804557,9.37722982769036
14.0,359.3848928,1.1038042028950021,9.727209658417848
14.5,358.524019,1.0947889452310062,10.077093532194922
15.0,1.0446459,1.101169970347874,10.427035359529778
15.5,1.668742,1.1113622940279813,10.776886923107819
16.0,2.0966506,1.1241671454743636,11.12665261007473
16.5,12.885887056643298,1.2022206485079339,11.467838264322074
17.0,4.341667056643303,1.228717009033539,11.81683388446493
17.5,357.3035370566433,1.2122513339799734,12.166446357848004
18.0,357.37029705664327,1.196193032105588,12.516077779406352
18.5,355.62381205664326,1.169486405447088,12.86505737206547
19.0,353.2808870566433,1.128535692765734,13.212653458250124
19.5,357.1408270566433,1.1110772471199906,13.56221776231396
20.0,1.7533820566433178,1.1217863768972418,13.91205388757751
20.5,273.85988163679986,0.7725802964574098,13.935614731871581
21.0,269.6301136771554,0.4225875898202716,13.933355240599168
21.5,272.250000717511,0.07285742730809541,13.947096180494489
22.0,275.37330775786654,-0.27560456719225146,13.979871756596827
22.5,274.68782479822215,-0.6244337388037573,14.008476109986313
23.0,272.55827183857775,-0.9740849086571383,14.024098511215385
23.5,277.7415838789333,-1.320894901843627,14.071245394738984
24.0,279.74576591928883,-1.6658439017169293,14.130492229982805
24.5,276.84926795964446,-2.013346066114883,14.172232447264669
25.0,271.89625,-2.363154400445738,14.18381386482353
25.5,273.85988163679986,-2.7123604808855704,14.207374709117602
26.0,273.7661272341713,-3.061604646951157,14.230364108177884
26.5,273.0054028315427,-3.411123255264365,14.248714651570337
27.0,267.89052442891415,-3.760886067257091,14.235831509603374
27.5,269.0105040262856,-4.1108338745224255,14.229787323125096
28.0,272.400749623657,-4.460526673270508,14.244448377102671
28.5,269.5132302210285,-4.810514042280655,14.241474905502816
29.0,265.29143081839993,-5.159332834600096,14.212744257671508
29.5,268.03618141577135,-5.509127267789488,14.200750321298834
30.0,274.8279120131428,-5.857885459669041,14.230207469784467
30.5,274.66725761051424,-6.206724876771781,14.25868660382012
31.0,269.4584832078857,-6.556709244812762,14.255378715225424
31.5,270.5900888052571,-6.906690682858582,14.25898329888787
32.0,275.0296644026286,-7.255342987009423,14.289668324719853
32.5,273.867,-7.604546137581419,14.313272553802625
33.0,270.8945,-7.954503485065607,14.318736521393234
33.5,272.33964000000003,-8.304211721867027,14.33302459730434
34.0,17.940404379951747,-8.19640206338349,14.666006695228031
34.5,20.821483879951742,-8.07199195104522,14.993149055597303
35.0,23.444082379951745,-7.9327430939112125,15.314256133979068
35.5,23.023918379951745,-7.795852716753138,15.636375715255214
36.0,24.324219379951742,-7.651687864028038,15.95530595094752
36.5,23.404685379951747,-7.512659835387511,16.276508701951194
37.0,21.987532879951747,-7.381618142616592,16.601051572394734
37.5,25.563912379951745,-7.230586966547846,16.916788145910207
38.0,9.7243466816826,-7.17146908987103,17.26175927029198
38.5,8.818272847276699,-7.117813741401662,17.60762210955146
39.0,7.453875012870799,-7.072408939901617,17.954664475842293
39.5,10.690116178464898,-7.007484952528996,18.298590159477058
40.0,10.698343344059,-6.942511581149093,18.64250651705769
40.5,9.5994595096531,-6.884145775232268,18.987605680631987
41.0,14.4843366752472,-6.7966054112014405,19.326481298913016
41.5,17.830761840841298,-6.689433152029597,19.659669094103663
42.0,15.6889025064354,-6.594788259290895,19.996629543234537
42.5,11.579599172029498,-6.524533067550427,20.33950591750595
43.0,12.9571193376236,-6.446055450032703,20.680594269034906
43.5,11.9526355032177,-6.373569393699103,21.023005968071608
44.0,5.785421668811799,-6.338288288893427,21.371223204353345
44.5,3.1134570344059003,-6.319278620818348,21.72070658381462
45.0,9.964306,-6.258716500101411,22.065427093117837
45.5,14.357741,-6.171925098670148,22.40449530548461
46.0,12.980428,-6.093308728507782,22.745551703082562
46.5,10.708743,-6.0282729345466795,23.08945626179595
47.0,6.7523146,-5.987120804388893,23.437028559575097
47.5,9.724346681682608,-5.928002927712077,23.78199968395687
48.0,6.478348881682608,-5.88851321469359,24.129764780776142
48.5,0.9752461901338734,-5.88255606239513,24.479714080441813
