step,x,y,timestamp,type
0.0,0.0,0.0,1740465065099,Initial_Location
16.0,2.245352237019688,8.690167133463547,1740465100542,Ground_truth_Location
33.5,-7.496797759318724,11.472194356261753,1740465118378,Ground_truth_Location
60.5,-2.7988005611114204,28.234244519029744,1740465140297,Ground_truth_Location
64.0,-5.597086388501339,29.67681857047137,1740465149599,Ground_truth_Location
79.0,-4.319051508675329,39.29435267299414,1740465162879,Ground_truth_Location
112.5,-23.14694887364749,46.12930609192699,1740465188185,Ground_truth_Location
154.5,-16.169066079426557,72.71493451099377,1740465220856,Ground_truth_Location
