Timestamp_(ms),Type,step,value_1,value_2,value_3,GroundTruth,value_4,value_5,turns,Compass_Heading,gyro_magnitude,gyro_roll_mean,gyro_roll_std,heading_diff,heading_roll_std,is_qs_candidate,Quasi_Static_Interval,Quasi_Static_Interval_Number
1740465169063,Compass,82.5,49.59527604772454,-74.349365,279.23102,0.0,0.0,0.0,4,285.65063499999997,298.87392051083395,286.5383861200499,22.286791907639625,0.7651650000000245,24.46275635235988,False,0,-1
1740465169443,Compass,83.0,49.59527604772454,-75.42181,284.04263,0.0,0.0,0.0,4,284.57819,303.13316900078837,290.75992375314195,18.78193713122157,1.0724449999999592,24.43056138428274,False,0,-1
1740465169644,Compass,83.5,49.59527604772454,-74.79457,287.33127,0.0,0.0,0.0,4,285.20543,305.3716665298236,294.32998472122364,15.184532414996994,0.627239999999972,1.416154167759259,True,1,3
1740465169924,Compass,84.0,51.385833711734215,-73.54805,294.01685,0.0,0.0,0.0,5,286.45195,305.0110674220775,297.21426953435576,11.588407468953767,1.2465200000000323,1.367042911171175,True,1,3
1740465170164,Compass,84.5,54.628182115552775,-75.4489,292.20776,0.0,0.0,0.0,5,284.5511,301.6640492898248,299.366697680403,8.248046383311213,1.9008499999999913,1.37740610253836,True,1,3
1740465170425,Compass,85.0,56.41617814288735,-75.71803,298.74808,0.0,0.0,0.0,5,284.28197,303.1789478383916,300.78750113323656,5.420862591591262,0.2691300000000183,1.367585747965199,True,1,3
1740465170745,Compass,85.5,59.386018714424694,-75.7096,297.8754,0.0,0.0,0.0,5,284.2904,304.09176451473587,301.4855635569908,3.692242196035478,0.008429999999975735,1.8331551251386402,True,1,3
1740465171103,Compass,86.0,59.90871962828116,-73.49786,298.90494,0.0,0.0,0.0,5,286.50214,304.67501782945504,301.54081690046917,3.5560533417524987,2.2117400000000202,1.544163656563207,True,1,3
1740465171323,Compass,86.5,60.05534556765118,-75.57944,295.88632,0.0,0.0,0.0,5,284.42056,304.3989569811657,301.08264808362554,4.290993871460886,2.081579999999974,1.582503866875195,True,1,3
1740465171685,Compass,87.0,60.55346939895352,-75.04965,295.31723,0.0,0.0,0.0,5,284.95035,303.34798652950855,300.2320437743675,5.052525216681829,0.5297899999999913,1.6217703333356306,True,1,3
1740465171883,Compass,87.5,60.55346939895352,-72.295616,295.79437,0.0,0.0,0.0,5,287.704384,301.8267017709388,299.1582570326298,5.567508834788541,2.75403399999999,1.644601929989642,True,1,3
1740465172290,Compass,88.0,60.55346939895352,-71.53987,292.96027,0.0,0.0,0.0,5,288.46013,300.067704351215,298.015628924527,6.020847018630515,0.7557459999999878,1.717397709174842,True,1,3
1740465172424,Compass,88.5,59.76062274817758,-72.54852,289.2898,0.0,0.0,0.0,5,287.45148,298.04023078667035,297.0843689809834,6.479092851607194,1.0086499999999887,1.716899419688195,True,1,3
1740465172803,Compass,89.0,56.56474443060801,-78.91154,280.55563,0.0,0.0,0.0,5,281.08846,295.8407846064992,296.0465344247188,6.676917600909541,6.363020000000006,1.6782971923136296,True,1,3
1740465173043,Compass,89.5,54.80793880680061,-77.77679,278.0749,0.0,0.0,0.0,5,282.22321,293.5902855451081,294.97536731248226,6.582213104254451,1.1347499999999968,1.614790022151251,True,1,3
1740465173384,Compass,90.0,53.706159446566275,-77.77129,279.29947,0.0,0.0,0.0,5,282.22871,292.0013882581802,293.91629480227067,6.175537434437502,0.005499999999983629,1.6452722077687858,True,1,3
1740465173665,Compass,90.5,52.53577650040018,-80.70055,281.29303,0.0,0.0,0.0,5,279.29945,290.3741043619186,292.93019488136144,5.529244636061327,2.9292599999999993,1.659398484334205,True,1,3
1740465173923,Compass,91.0,50.397676347724605,-80.88141,277.12137,0.0,0.0,0.0,5,279.11859,289.2648654037582,292.0380733171441,4.7534388749654655,0.18085999999999558,1.6197795234972971,True,1,3
1740465174253,Compass,91.5,48.38525408117643,-77.35548,274.9712,0.0,0.0,0.0,5,282.64452,287.8716458005345,291.24458863166217,3.9237236461002274,3.5259300000000167,1.6753422097208897,True,1,3
1740465174484,Compass,92.0,47.648165297837025,-75.53246,277.3179,0.0,0.0,0.0,5,284.46754,287.69515013667154,290.5793751932087,3.07510418023339,1.8230199999999854,1.6534666260366206,True,1,3
1740465174783,Compass,92.5,46.840278807347,-76.706245,280.37997,0.0,0.0,0.0,5,283.29375500000003,287.6114294944228,290.08634181041595,2.284753759660577,1.1737849999999526,1.6953306328145337,True,1,3
1740465175048,Compass,93.0,45.79373763136178,-75.45376,275.7451,0.0,0.0,0.0,5,284.54624,288.0242578311872,289.74658395496874,1.6619548763051204,1.2524849999999788,1.2141739532326707,True,1,3
1740465175344,Compass,93.5,45.1843446339548,-72.34964,278.44366,0.0,0.0,0.0,5,287.65036,288.7889301762818,289.6155662487797,1.3930006523468605,3.1041199999999662,1.2112688621782193,True,1,3
1740465175623,Compass,94.0,44.90858770881134,-71.31104,278.0528,0.0,0.0,0.0,5,288.68896,289.60745816752586,289.6759909508166,1.517938671226901,1.0386000000000308,1.1954087547053214,True,1,3
1740465175863,Compass,94.5,44.61865326015567,-73.10982,283.18292,0.0,0.0,0.0,5,286.89018,289.9661630662497,289.9781997427501,2.0313004626900506,1.798780000000022,1.2618066699351353,True,1,3
1740465176143,Compass,95.0,44.204293131436906,-76.85484,272.6479,0.0,0.0,0.0,5,283.14516000000003,289.9244314887095,290.475866635296,2.6609295637826484,3.745019999999954,1.2413493333538812,True,1,3
1740465176443,Compass,95.5,44.17388404079949,-73.96841,284.35797,0.0,0.0,0.0,5,286.03159,290.0895027744127,291.218762728051,3.348619635608374,2.8864299999999616,1.202746102982759,True,1,3
1740465176665,Compass,96.0,44.16672071537573,-73.640976,279.77365,0.0,0.0,0.0,5,286.359024,290.6447300447783,292.14011478392774,4.121873149280813,0.32743399999998246,1.2318246652255829,True,1,3
1740465176964,Compass,96.5,44.16672071537573,-75.456726,291.05508,0.0,0.0,0.0,5,284.543274,290.74441677479217,293.2840470003783,5.051481097677894,1.81574999999998,1.2216696211639146,True,1,3
