GT Point,Trad Error,Corr Error,Improvement
GT0,0.0,0.0,0.0
GT1,1.2412130603031828,8.082710539124403,-551.1944482077954
GT2,0.9571497198243768,4.445414327066159,-364.44294293705985
GT3,4.581346420213732,16.848207635020255,-267.75668307209656
GT4,3.155082437850059,16.231256530328448,-414.4479375755638
GT5,4.673957810723758,24.174870117683174,-417.22482522664694
GT6,2.5750808868312856,18.139514191111797,-604.4250253992221
GT7,6.004968263721959,41.06826402914451,-583.9047639477425
