Timestamp_(ms),Type,step,value_1,value_2,value_3,GroundTruth,value_4,value_5,turns,GroundTruthHeadingComputed
1740468753220,Initial_Location,17.5,,-77.988205,22.813446,0.0,836500.9989003602,818574.6323760239,0,
1740468777718,Ground_truth_Location,43.0,,-87.42675,2.7893372,0.0,836506.456965648,818592.7683990939,0,11.825656389832773
1740468789849,Ground_truth_Location,47.5,,-162.46584,283.33627,0.0,836503.5204996637,818593.6957583752,1,293.67782661312174
1740468831902,Ground_truth_Location,79.0,,-65.36333,17.350159,0.0,836510.1875989311,818616.9496764144,2,15.307514836830194
1740468888002,Ground_truth_Location,153.5,,30.498657,114.07501,0.0,836559.4165406835,818602.7646910807,3,120.36196506536118
