Method,Average Error (m),Cumulative Error (m)
Compass (Traditional),16.787500014180747,285.3875002410727
Gyro (Traditional),16.756592751450317,284.8620767746554
Compass (LSTM),16.798661644350243,285.57724795395416
Gyro (LSTM),17.644699891048358,299.95989814782206
