step,Walked_distance,Compass_X,Compass_Y,Gyro_X,Gyro_Y,Compass_LSTM_X,Compass_LSTM_Y,Gyro_LSTM_X,Gyro_LSTM_Y,Fusion_X,Fusion_Y,GT_X,GT_Y,Gyro_Error_X,Gyro_Error_Y,Gyro_Distance_Error,Compass_Error_X,Compass_Error_Y,Compass_Distance_Error,Gyro_LSTM_Error_X,Gyro_LSTM_Error_Y,Gyro_LSTM_Distance_Error,Compass_LSTM_Error_X,Compass_LSTM_Error_Y,Compass_LSTM_Distance_Error,Fusion_Error_X,Fusion_Error_Y,Fusion_Distance_Error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.33,0.034775292778019135,0.3281625801522822,0.00839958811115055,0.3298930840735571,0.0,0.33,0.0,0.33,0.0,0.33,2.245352237019688,8.690167133463547,2.236952648908537,8.36027404938999,8.65437111143049,2.210576944241669,8.362004553311264,8.649264163847185,2.245352237019688,8.360167133463547,8.656442754834888,2.245352237019688,8.360167133463547,8.656442754834888,2.245352237019688,8.360167133463547,8.656442754834888
1.0,0.66,0.022278481326306596,0.6579258735970506,0.02392094199814116,0.6595278631450543,0.0,0.66,0.0,0.66,0.0,0.66,-7.496797759318724,11.472194356261753,7.5207187013168655,10.812666493116698,13.170989578452554,7.519076240645031,10.814268482664701,13.171367063740487,7.496797759318724,10.812194356261752,13.15695722580661,7.496797759318724,10.812194356261752,13.15695722580661,7.496797759318724,10.812194356261752,13.15695722580661
1.5,0.99,0.010705813623705712,0.9877228920223924,0.045388740732896844,0.9888288403945669,0.0,0.99,0.0,0.99,0.0,0.99,-2.7988005611114204,28.234244519029744,2.844189301844317,27.245415678635176,27.39346798575064,2.8095063747351263,27.24652162700735,27.390988789027983,2.7988005611114204,27.244244519029746,27.387627571470297,2.7988005611114204,27.244244519029746,27.387627571470297,2.7988005611114204,27.244244519029746,27.387627571470297
2.0,1.32,-0.03196596273426157,1.314952352038534,0.07173204678734753,1.3177756905483897,0.0,1.32,0.0,1.32,0.0,1.32,-5.597086388501339,29.67681857047137,5.668818435288686,28.359042879922978,28.92007634010635,5.565120425767077,28.361866218432834,28.902699194808285,5.597086388501339,28.35681857047137,28.90391903322068,5.597086388501339,28.35681857047137,28.90391903322068,5.597086388501339,28.35681857047137,28.90391903322068
2.5,1.6500000000000001,-0.12146924540984712,1.6325828958945905,0.10198498797525361,1.6463860366263565,0.0,1.6500000000000001,0.0,1.6500000000000001,0.0,1.6500000000000001,-4.319051508675329,39.29435267299414,4.421036496650583,37.647966636367784,37.906661097461196,4.197582263265482,37.66176977709954,37.89496799840487,4.319051508675329,37.64435267299414,37.89131159122565,4.319051508675329,37.64435267299414,37.89131159122565,4.319051508675329,37.64435267299414,37.89131159122565
3.0,1.98,-0.21293327665474499,1.9496543878146815,0.13528672217802898,1.9747014253900996,0.0,1.9800000000000002,0.0,1.9800000000000002,0.0,1.9800000000000002,-23.14694887364749,46.12930609192699,23.28223559582552,44.15460466653689,49.9168469316491,22.934015596992744,44.17965170411231,49.777612398544996,23.14694887364749,44.149306091926995,49.84919729100874,23.14694887364749,44.149306091926995,49.84919729100874,23.14694887364749,44.149306091926995,49.84919729100874
3.5,2.31,-0.332046721666317,2.257407514878364,0.17088103041229222,2.3027761809281087,0.0,2.31,0.0,2.31,0.0,2.31,-16.169066079426557,72.71493451099377,16.33994710983885,70.41215833006567,72.28323396369706,15.83701935776024,70.4575269961154,72.2154712824503,16.169066079426557,70.40493451099377,72.23775675765536,16.169066079426557,70.40493451099377,72.23775675765536,16.169066079426557,70.40493451099377,72.23775675765536
4.0,2.64,-0.4966616022379309,2.543417901218429,0.20811577276348275,2.6306688065878516,0.0,2.64,0.0,2.64,0.0,2.64,,,,,,,,,,,,,,,,,
4.5,2.97,-0.6730504526772366,2.8223210626216306,0.24644235443311063,2.958435603468685,0.0,2.97,0.0,2.97,0.0,2.97,,,,,,,,,,,,,,,,,
5.0,3.3000000000000003,-0.8027711833621559,3.1257556223385006,0.28541528284173295,3.286126175275773,0.0,3.3000000000000003,0.0,3.3000000000000003,0.0,3.3000000000000003,,,,,,,,,,,,,,,,,
5.5,3.6300000000000003,-0.9510248416178194,3.4205790488395387,0.326467615972821,3.613562743093868,0.0,3.6300000000000003,0.0,3.6300000000000003,0.0,3.6300000000000003,,,,,,,,,,,,,,,,,
6.0,3.96,-1.1192578072148627,3.7044763353472194,0.3663784081262044,3.9411404112424915,0.0,3.9600000000000004,0.0,3.9600000000000004,0.0,3.9600000000000004,,,,,,,,,,,,,,,,,
6.5,4.29,-1.2849376951538867,3.9898711053282274,0.40575545929032186,4.268782667127807,0.0,4.29,0.0,4.29,0.0,4.29,,,,,,,,,,,,,,,,,
7.0,4.62,-1.4432938762212948,4.279393677708597,0.44632189664698174,4.5962797879704,0.0,4.62,0.0,4.62,0.0,4.62,,,,,,,,,,,,,,,,,
