Time (s),Original_Heading,Corrected_Heading,Original_East,Original_North,Corrected_East,Corrected_North
131.31,293.22,293.22,836540.6302828771,818660.7248048391,836540.2076149762,818656.0518972684
131.32,293.53,293.53,836540.6250752459,818660.7270724248,836540.202407345,818656.0541648541
131.33,293.65,293.65,836540.6198723771,818660.7293509112,836540.1972044762,818656.0564433405
131.34,293.74,293.74,836540.6146730935,818660.7316375675,836540.1920051926,818656.0587299968
131.35,293.8,293.8,836540.6094762074,818660.7339296672,836540.1868083065,818656.0610220964
131.36,293.85,293.85,836540.6042813228,818660.736226301,836540.1816134219,818656.0633187303
131.37,293.93,293.93,836540.5990896496,818660.738530186,836540.1764217488,818656.0656226153
131.38,293.95,293.95,836540.5938987804,818660.7408358846,836540.1712308795,818656.0679283139
131.39,293.96,293.96,836540.588708315,818660.7431424881,836540.1660404141,818656.0702349173
131.4,293.97,293.97,836540.5835182517,818660.7454499985,836540.1608503507,818656.0725424278
131.41,293.99,293.99,836540.5783289942,818660.7477593186,836540.1556610933,818656.0748517478
131.42,294.05,294.05,836540.5731421583,818660.7500740718,836540.1504742575,818656.0771665011
131.43,294.1,294.1,836540.5679573443,818660.7523933514,836540.1452894434,818656.0794857807
131.44,294.16,294.16,836540.5627749622,818660.75471806,836540.1401070612,818656.0818104893
131.46,294.22,294.22,836540.5524150714,818660.7593783275,836540.1297471705,818656.0864707568
131.46,294.28,294.28,836540.5472375689,818660.7617138843,836540.124569668,818656.0888063136
131.47,294.31,294.31,836540.5420612904,818660.7640521516,836540.1193933894,818656.0911445809
131.48,294.35,294.35,836540.5368866458,818660.7663940323,836540.1142187449,818656.0934864616
131.49,294.35,290.8,836540.5317120013,818660.768735913,836540.1089090207,818656.0955034371
131.5,294.34,290.78999999999996,836540.5265369468,818660.7710768909,836540.1035989451,818656.0975194856
131.51,294.33,291.1744444444444,836540.5213614843,818660.7734169638,836540.0983025169,818656.0995711182
131.52,294.33,291.56888888888886,836540.5161860217,818660.7757570368,836540.0930203382,818656.1016591633
