Time (s),Original_Heading,Improved_Heading,Original_East,Original_North,Improved_East,Improved_North
0.24,358.92,358.92,836559.4839748405,818603.1011408493,836559.4839748405,818603.1011408493
0.25,358.88,358.88,836559.4838638181,818603.1068196731,836559.4838638181,818603.1068196731
0.26,358.85,358.85,836559.4837498227,818603.1124984364,836559.4837498227,818603.1124984364
0.27,358.82,358.82,836559.4836328542,818603.1181771389,836559.4836328542,818603.1181771389
0.28,358.79,358.79,836559.4835129126,818603.1238557809,836559.4835129126,818603.1238557809
0.29,358.73,358.73,836559.4833870248,818603.1295342937,836559.4833870248,818603.1295342937
0.3,358.7,358.7,836559.4832581619,818603.1352127397,836559.4832581619,818603.1352127397
0.31,358.67,358.67,836559.483126326,818603.1408911172,836559.483126326,818603.1408911172
0.32,358.64,358.64,836559.4829915169,818603.1465694258,836559.4829915169,818603.1465694258
0.33,358.61,358.61,836559.4828537347,818603.1522476618,836559.4828537347,818603.1522476618
0.34,358.54,358.54,836559.4827090167,818603.1579257263,836559.4827090167,818603.1579257263
0.35,358.51,358.51,836559.4825613255,818603.1636037139,836559.4825613255,818603.1636037139
0.36,358.49,358.49,836559.482411651,818603.1692816489,836559.482411651,818603.1692816489
0.37,358.47,358.47,836559.4822599952,818603.1749595315,836559.4822599952,818603.1749595315
0.38,358.47,358.47,836559.4821083392,818603.1806374141,836559.4821083392,818603.1806374141
0.39,358.47,358.47,836559.4819566833,818603.1863152967,836559.4819566833,818603.1863152967
0.4,358.47,358.47,836559.4818050275,818603.1919931791,836559.4818050275,818603.1919931791
0.41,358.48,358.48,836559.4816543632,818603.197671088,836559.4816543632,818603.197671088
0.42,358.48,358.48,836559.481503699,818603.2033489968,836559.481503699,818603.2033489968
0.43,358.5,358.5,836559.4813550161,818603.2090269582,836559.4813550161,818603.2090269582
0.44,358.51,358.51,836559.481207325,818603.2147049458,836559.481207325,818603.2147049458
0.45,358.53,358.53,836559.4810616153,818603.2203829839,836559.4810616153,818603.2203829839
0.46,358.53,358.53,836559.4809159056,818603.226061022,836559.4809159056,818603.226061022
0.47,358.54,358.54,836559.4807711876,818603.2317390863,836559.4807711876,818603.2317390863
0.48,358.53,358.53,836559.4806254779,818603.2374171244,836559.4806254779,818603.2374171244
0.49,358.53,358.53,836559.4804797681,818603.2430951626,836559.4804797681,818603.2430951626
0.5,358.52,358.52,836559.4803330667,818603.2487731763,836559.4803330667,818603.2487731763
0.51,358.53,358.53,836559.4801873569,818603.2544512145,836559.4801873569,818603.2544512145
0.52,358.53,358.53,836559.4800416472,818603.2601292526,836559.4800416472,818603.2601292526
0.53,358.54,358.54,836559.4798969292,818603.2658073169,836559.4798969292,818603.2658073169
0.54,358.55,358.55,836559.4797532008,818603.2714854055,836559.4797532008,818603.2714854055
0.55,358.56,358.56,836559.4796104642,818603.2771635203,836559.4796104642,818603.2771635203
0.56,358.56,358.56,836559.4794677276,818603.2828416352,836559.4794677276,818603.2828416352
0.57,358.56,358.56,836559.4793249909,818603.28851975,836559.4793249909,818603.28851975
0.58,358.54,358.54,836559.4791802729,818603.2941978143,836559.4791802729,818603.2941978143
0.59,358.52,358.52,836559.4790335714,818603.2998758282,836559.4790335714,818603.2998758282
0.6,358.49,358.49,836559.478883897,818603.3055537633,836559.478883897,818603.3055537633
0.61,358.47,358.47,836559.478732241,818603.3112316459,836559.478732241,818603.3112316459
0.62,358.45,358.45,836559.4785786037,818603.316909476,836559.4785786037,818603.316909476
0.63,358.45,358.45,836559.4784249665,818603.3225873059,836559.4784249665,818603.3225873059
0.64,358.45,358.45,836559.4782713291,818603.328265136,836559.4782713291,818603.328265136
0.65,358.48,358.48,836559.478120665,818603.3339430449,836559.478120665,818603.3339430449
0.66,358.5,358.5,836559.4779719821,818603.3396210062,836559.4779719821,818603.3396210062
0.67,358.52,358.52,836559.4778252806,818603.3452990201,836559.4778252806,818603.3452990201
0.68,358.54,358.54,836559.4776805626,818603.3509770844,836559.4776805626,818603.3509770844
0.69,358.56,358.56,836559.4775378259,818603.3566551992,836559.4775378259,818603.3566551992
0.7,358.6,358.6,836559.4773990541,818603.362333411,836559.4773990541,818603.362333411
