Timestamp_(ms),Type,step,value_1,value_2,value_3,GroundTruth,value_4,value_5,turns,GroundTruthHeadingComputed
1740465065099,Initial_Location,0.0,,2.2076936,6.925995,0.0,836559.4856303189,818602.936434033,0,
1740465100542,Ground_truth_Location,16.0,,5.1145525,324.3653,0.0,836561.7309825559,818611.6266011664,0,12.885887056643298
1740465118378,Ground_truth_Location,33.5,,-84.67543,301.41977,0.0,836551.9888325596,818614.4086283892,1,285.5112043799518
1740465140297,Ground_truth_Location,60.5,,-1.1899649,326.89615,0.0,836556.6868297578,818631.170678552,2,15.750185224615905
1740465149599,Ground_truth_Location,64.0,,-82.401596,297.13684,0.0,836553.8885439304,818632.6132526034,3,297.30448343420795
1740465162879,Ground_truth_Location,79.0,,13.118056,11.065765,0.0,836555.1665788102,818642.230786706,4,7.599820136054973
1740465188185,Ground_truth_Location,112.5,,12.404615,5.5727844,0.0,836536.3386814452,818649.0657401249,5,290.80086973444025
1740465220856,Ground_truth_Location,154.5,,23.04993,322.3646,0.0,836543.3165642394,818675.651368544,6,12.413606529283925
