Quasi_Static_Interval_Number,Compass_Heading_mean,Compass_Heading_std,True_Heading_mean,True_Heading_std,Gyro_Magnitude_mean,Gyro_Magnitude_max,Step_mean,Step_min,Step_max,Heading_Difference
0,7.316059732799999,2.6363547866966948,,,322.79910391097127,354.4730604792185,6.0,0.0,12.0,
1,-86.20314231578948,4.129101134817046,185.07029799768023,135.1116426631633,309.0442440113654,313.64267160058955,25.0,20.5,29.5,271.2734403134697
2,9.73246284736842,4.318739564594932,143.53172061398553,136.50161312950388,337.43670937363015,350.0500863368617,47.25,38.0,56.5,133.7992577666171
3,-73.45697058,3.2977954985103604,171.85642890311843,141.19537225262988,303.19795822055795,325.5320870394912,95.75,83.5,108.0,245.31339948311842
4,17.007678139240507,4.509131089057816,178.03640868931365,137.5347469274206,316.902537505176,356.4160835134544,135.0,115.5,154.5,161.02873055007313
