Quasi_Static_Interval_Number,Compass_Heading,True_Heading,Time,Step,Floor,east,north
1,12.08954399999999,12.885887056643298,1740465076777,9.5,0.0,47.34967990916095,322.1902
1,6.2008467,12.885887056643298,1740465077255,10.0,0.0,47.34967990916095,320.96286
1,4.847237599999971,12.885887056643298,1740465077374,10.5,0.0,47.59767917136297,317.1849
1,6.31393700000001,12.885887056643298,1740465077974,11.0,0.0,48.328223508628994,317.62842
1,6.501917999999989,12.885887056643298,1740465078093,11.5,0.0,48.328223508628994,313.15366
1,4.699903000000006,12.885887056643298,1740465078473,12.0,0.0,48.328223508628994,315.8049
1,3.1624292999999852,12.885887056643298,1740465078734,12.5,0.0,46.32198789451938,314.15567
1,2.1935760000000073,12.885887056643298,1740465079113,13.0,0.0,46.08424690173422,323.3997
1,4.358184300000005,12.885887056643298,1740465079415,13.5,0.0,46.08424690173422,322.31186
2,274.31402,285.5112043799518,1740465110853,26.0,0.0,59.39134643405553,294.60736
2,273.51115,285.5112043799518,1740465111053,26.5,0.0,61.34256398496888,299.63638
2,268.354126,285.5112043799518,1740465111473,27.0,0.0,65.5323751095594,298.90387
2,269.43196,285.5112043799518,1740465111654,27.5,0.0,67.21237911463929,305.4018
2,272.78006,285.5112043799518,1740465112053,28.0,0.0,70.32455452222929,305.33746
2,269.850395,285.5112043799518,1740465112233,28.5,0.0,71.22351481428026,302.46106
2,265.58645,285.5112043799518,1740465112633,29.0,0.0,71.22351481428026,298.15973
2,268.289055,285.5112043799518,1740465112814,29.5,0.0,71.22351481428026,304.17883
2,275.03864,285.5112043799518,1740465113213,30.0,0.0,70.14622005140406,302.47943
2,274.83584,285.5112043799518,1740465113393,30.5,0.0,69.10957106291428,296.731
2,269.58492,285.5112043799518,1740465113753,31.0,0.0,63.28670501179532,289.16937
2,270.67438,285.5112043799518,1740465113953,31.5,0.0,60.436595132833226,291.22943
2,275.07181,285.5112043799518,1740465114353,32.0,0.0,56.49118432330836,286.10812
2,273.867,285.5112043799518,1740465114538,32.5,0.0,54.32695434818705,282.7955
2,270.8945,285.5112043799518,1740465114953,33.0,0.0,52.28247346147656,285.4405
2,272.33964000000003,285.5112043799518,1740465115139,33.5,0.0,52.03045232121281,291.34662
3,11.764346999999987,285.5112043799518,1740465127754,43.5,0.0,59.17459600622551,338.06024
3,5.659896000000003,285.5112043799518,1740465128014,44.0,0.0,59.05254545741445,348.7816
3,3.0506942000000095,285.5112043799518,1740465128278,44.5,0.0,58.31524645193571,331.50473
3,9.964306000000022,285.5112043799518,1740465128573,45.0,0.0,58.23534552786649,335.20892
3,14.357740999999976,285.5112043799518,1740465128833,45.5,0.0,57.179371006946205,332.77496
3,12.980428000000018,285.5112043799518,1740465129073,46.0,0.0,50.2614259397801,329.59567
3,10.708743000000027,285.5112043799518,1740465129255,46.5,0.0,44.95866156815614,335.17154
3,6.752314599999977,15.750185224615905,1740465129553,47.0,0.0,44.61239317723271,334.6662
3,5.894133000000011,15.750185224615905,1740465129936,47.5,0.0,44.61239317723271,343.96362
3,2.648135200000013,15.750185224615905,1740465130138,48.0,0.0,44.61239317723271,346.9614
4,14.170978999999988,7.599820136054973,1740465158584,74.5,0.0,43.01898200213483,2.317749
4,14.16980000000001,7.599820136054973,1740465158863,75.0,0.0,44.887881159618125,5.491089
4,11.934158000000025,7.599820136054973,1740465159124,75.5,0.0,48.71016000281667,7.1497803
4,10.887474999999995,7.599820136054973,1740465159404,76.0,0.0,50.84696709244319,5.892029
4,12.611570000000029,7.599820136054973,1740465159704,76.5,0.0,52.42636204716097,3.9032593
4,13.589980000000025,7.599820136054973,1740465159983,77.0,0.0,52.57914421374696,5.250458
4,12.56263100000001,7.599820136054973,1740465160268,77.5,0.0,52.57914421374696,7.477783
4,11.61961500000001,7.599820136054973,1740465160504,78.0,0.0,52.42636204716097,9.579498
4,16.30441000000002,7.599820136054973,1740465160883,78.5,0.0,53.34941570673478,15.628815
4,15.913516000000016,7.599820136054973,1740465161043,79.0,0.0,53.519491192461835,12.111572
5,281.08846,7.599820136054973,1740465172803,89.0,0.0,56.56474443060801,280.55563
5,282.22321,7.599820136054973,1740465173043,89.5,0.0,54.80793880680061,278.0749
5,282.22871,7.599820136054973,1740465173384,90.0,0.0,53.706159446566275,279.29947
5,279.29945,7.599820136054973,1740465173665,90.5,0.0,52.53577650040018,281.29303
5,279.11859,7.599820136054973,1740465173923,91.0,0.0,50.397676347724605,277.12137
5,282.64452,7.599820136054973,1740465174253,91.5,0.0,48.38525408117643,274.9712
5,284.46754,7.599820136054973,1740465174484,92.0,0.0,47.648165297837025,277.3179
5,283.29375500000003,7.599820136054973,1740465174783,92.5,0.0,46.840278807347,280.37997
5,284.54624,7.599820136054973,1740465175048,93.0,0.0,45.79373763136178,275.7451
5,287.65036,7.599820136054973,1740465175344,93.5,0.0,45.1843446339548,278.44366
5,288.68896,290.80086973444025,1740465175623,94.0,0.0,44.90858770881134,278.0528
5,286.89018,290.80086973444025,1740465175863,94.5,0.0,44.61865326015567,283.18292
5,283.14516000000003,290.80086973444025,1740465176143,95.0,0.0,44.204293131436906,272.6479
5,286.03159,290.80086973444025,1740465176443,95.5,0.0,44.17388404079949,284.35797
5,286.359024,290.80086973444025,1740465176665,96.0,0.0,44.16672071537573,279.77365
5,284.543274,290.80086973444025,1740465176964,96.5,0.0,44.16672071537573,291.05508
5,282.1007,290.80086973444025,1740465177223,97.0,0.0,43.2811033391017,277.61218
5,285.95264,290.80086973444025,1740465177503,97.5,0.0,41.72538570822323,286.65286
5,285.66888,290.80086973444025,1740465177763,98.0,0.0,40.43411886946468,282.0914
5,285.27324,290.80086973444025,1740465177943,98.5,0.0,39.77200648697523,281.46155
5,284.5969,290.80086973444025,1740465178307,99.0,0.0,37.78123707609374,281.8452
5,287.39961,290.80086973444025,1740465178485,99.5,0.0,37.2918179698979,287.38403
5,288.91902,290.80086973444025,1740465178824,100.0,0.0,36.47034325996946,292.3298
5,287.540985,290.80086973444025,1740465179023,100.5,0.0,36.06038771976807,294.3593
5,287.75262499999997,290.80086973444025,1740465179384,101.0,0.0,35.81997086123884,302.6197
5,289.85772,290.80086973444025,1740465179683,101.5,0.0,35.717806746075546,314.2618
5,289.74172,290.80086973444025,1740465179903,102.0,0.0,35.2439600321814,309.2364
5,289.42076,290.80086973444025,1740465180123,102.5,0.0,35.08761355521347,312.0106
5,289.478134,290.80086973444025,1740465180483,103.0,0.0,35.08761355521347,312.32098
5,290.64459999999997,290.80086973444025,1740465180764,103.5,0.0,35.08761355521347,316.22452
5,291.29224999999997,290.80086973444025,1740465181007,104.0,0.0,36.036331493369296,314.2641
5,290.2444,290.80086973444025,1740465181205,104.5,0.0,36.91253386385171,315.12378
5,287.51672,290.80086973444025,1740465181565,105.0,0.0,39.66392016051868,310.44647
5,290.62966,290.80086973444025,1740465181863,105.5,0.0,42.0933208033056,316.08337
5,291.67217,290.80086973444025,1740465182130,106.0,0.0,43.41001828495353,312.44962
5,290.4627,290.80086973444025,1740465182409,106.5,0.0,45.230745212742185,320.69604
5,288.63974,290.80086973444025,1740465182683,107.0,0.0,47.17773077681885,308.19037
5,291.91777,290.80086973444025,1740465182963,107.5,0.0,47.6133926143685,308.9501
5,293.93961,290.80086973444025,1740465183184,108.0,0.0,47.660788718295464,309.52994
5,295.19582,290.80086973444025,1740465183503,108.5,0.0,47.660788718295464,314.279
5,299.247326,290.80086973444025,1740465183764,109.0,0.0,48.00004069008692,312.5462
5,306.22176,290.80086973444025,1740465184063,109.5,0.0,48.00004069008692,314.57465
5,306.563507,290.80086973444025,1740465184345,110.0,0.0,47.660788718295464,311.6096
5,306.989967,290.80086973444025,1740465184563,110.5,0.0,47.56828972645537,315.26465
5,312.826576,290.80086973444025,1740465185063,111.0,0.0,47.449191576358814,311.7085
5,324.526337,290.80086973444025,1740465185283,111.5,0.0,46.6222351727156,325.13385
