step,heading_compass,x_compass,y_compass,heading_gyro,x_gyro,y_gyro,heading_compass_sin,heading_compass_cos,heading_gyro_sin,heading_gyro_cos,gt_x,gt_y,fused_heading,fused_x,fused_y
5.0,-0.5855811735129457,0.381330162220225,3.4776505929789883,-1.4763976928479892,0.6276707721010542,3.2155959941674603,-0.5526838204285305,0.8333910214518296,-0.9955477566276961,0.09425849708944821,0.7016725740686525,2.7156772292073583,1.3007349,0.0,0.0
5.5,2.6705546847787236,0.4358030999668717,3.823385605746353,-1.659321076755564,0.6061955057149095,3.564936534233517,0.45381146132386047,-0.8910977261620088,-0.9960842425201563,-0.08840917261826671,0.7718398314755177,2.987244952128094,1.3117162,0.09337673070039719,0.3373140764387183
6.0,1.1030030430703928,0.4807978896016984,4.170481369053423,-1.8517433163621497,0.5080996475719023,3.9009085607702314,0.8925655081329932,0.4509177460372253,-0.960793301501789,-0.27726563398533965,0.842007088882383,3.25881267504883,1.3057954,0.18304375151693603,0.6756331941041058
6.5,1.0285307013620635,0.5253414905985604,4.517635322812029,0.6030270675479166,0.3877902649838164,4.229581121932969,0.8565416414482105,0.516077917048584,0.567138229289161,0.8236226252834213,0.9121743462892482,3.530380397969566,1.3090991,0.27471229790665586,1.0134154873090573
7.0,2.382752259653733,0.5780770869191125,4.863639595734656,-3.0069486533679672,0.2470249700254823,4.550026330565105,0.6880804578739714,-0.7256344007087493,-0.1342375418319903,-0.9909491825330422,0.9823416036961135,3.8019481208903017,1.3124125,0.3652644326140373,1.3514987771947542
7.5,2.9402691179454035,0.6341769297979297,5.2091143525968215,-0.14398305206669093,0.0873930727958394,4.861502906549343,0.19996630945685817,-0.979802773563233,-0.14348607918219003,0.9896523354597423,1.0525088611029787,4.0735158438110375,1.3125906,0.4546958596170588,1.689880248118035
8.0,1.8276609762370732,0.6835579552728122,5.5556132910122935,1.9222084237034274,-0.0947107719557774,5.160397854192623,0.9671912644583783,-0.25404932189518503,0.9388875715117052,-0.34422395044629384,1.122676118509844,4.345083566731773,1.3125112,0.5440670199092246,2.028277641293621
8.5,2.470033834528744,0.7368205761064538,5.901536827681789,-1.6960504812594586,-0.2953144546316414,5.447204692494783,0.622207068222963,-0.7828527091690909,-0.9921659485443104,-0.12492690082271665,1.1928433759167092,4.616651289652509,1.3116895,0.6334650464348374,2.366667937923601
9.0,-2.0379476143591724,0.8007737210130215,6.24564436211915,1.139083469175585,-0.5128045682719403,5.721427321883259,-0.8928548116351636,-0.4503446295226985,0.9082503762953801,0.41842711905336694,1.2630106333235744,4.888219012573245,1.3118439,0.7231411013144983,2.704984661100597
9.5,-0.4768266143591724,0.874077763769372,6.587881878057387,-0.00938522320753421,-0.7357472951956096,5.991235662213646,-0.458962078171246,0.8884558575420227,-0.009385085429287303,0.9999559591159427,1.3331778907304397,5.159786735493981,1.3109078,0.8127649271331927,3.0433152240794983
10.0,-0.08233860717958663,0.9118826802059636,6.935834156815872,-1.6774172630898256,-0.966449278206092,6.254440136026367,-0.08224560094133238,0.9966120916012403,-0.9943213705972331,-0.10641903952601654,1.403345148137305,5.431354458414717,1.3070254,0.902705401654232,3.381561748145793
10.5,-1.4359477071795865,0.9414574614500942,7.2845823931044045,-2.1641940430833024,-1.1993790560897688,6.51567512329848,-0.9909216941837682,0.13444030644107655,-0.8290455294448336,-0.559181106715468,1.4735124055441702,5.7029221813354525,1.3104444,0.9939584060956007,3.7194565382512685
11.0,0.030751692820413012,0.9799490913412864,7.632459374849848,-2.7481641051950483,-1.434959248817297,6.774522516166286,0.030746846241390777,0.9995272039550541,-0.38335726983835516,-0.9236001319088702,1.5436796629510354,5.974489904256188,1.3101331,1.0840556433835566,4.057661339862774
11.5,0.21873269282041363,1.0195818572184403,7.980208197808211,-0.8571204765582543,-1.661869450312275,7.04100283524728,0.21699268632211866,0.9761732295462269,-0.7559607146252298,0.6546169856819419,1.6138469203579007,6.246057627176924,1.3113449,1.1742581443949192,4.395838081835511
12.0,-1.5832823071795863,1.0482597446921131,8.329031331745808,0.2660007787539307,-1.8835128023190035,7.311879605220678,-0.9999220511596079,-0.0124856559604397,0.2628749809000941,0.96482990439599,1.684014177764766,6.51762535009766,1.3134885,1.2640507894112936,4.734123879499208
12.5,-3.120756007179587,1.067568118764188,8.67849833546818,0.782116989934007,-2.102707156782875,7.584741905605262,-0.020835138682943902,-0.9997829249372399,0.7047828389559446,0.7094231106421606,1.7541814351716312,6.789193073018396,1.316092,1.353118071989129,5.072601381224508
13.0,2.193576,1.0809646388021723,9.02824186042736,0.42538885655708825,-2.323596114488385,7.856234204508515,0.8122602266276654,-0.5832952290553847,0.4126750139461742,0.9108783304396504,1.8243486925784964,7.060760795939132,1.3116157,1.4413038170678487,5.4113096249460195
13.5,-1.9250010071795867,1.1075616067804557,9.37722982769036,-0.4716722222267613,-2.54870849086184,8.124234984364648,-0.9379226376794767,-0.3468445267383832,-0.4543765517834572,0.890809715477652,1.8945159499853617,7.3323285188598675,1.3134788,1.5310048362804978,5.749619729956514
14.0,1.2433302907635628,1.103804202895002,9.727209658417848,-2.928926540631455,-2.785104147376977,8.382337858391221,0.9468604187531791,0.3216447534136914,-0.2110666967698212,-0.9774716617450739,1.964683207392227,7.603896241780603,1.3166504,1.620075387176844,6.088096371636588
14.5,0.3824564907635839,1.0947889452310062,10.077093532194922,0.23977661551839802,-3.035173679814624,8.627215846267667,0.37320060408760464,0.9277506718448912,0.23748563866821157,0.9713910496943812,2.034850464799092,7.875463964701339,1.3108569,1.7080719918578753,6.42685380338475
