X,Y
0.0,0.0
0.04090349991068221,0.32745519341591883
0.025420921482034793,0.657091796003072
-0.01033303189873154,0.9851491916179949
-0.042465392856170604,1.3135810892456474
-0.14280993890593888,1.6279550259485267
-0.22866714171836416,1.9465904613998055
-0.3652744142917683,2.2469876203079013
-0.5129531303913315,2.5420994581104277
-0.675462101161703,2.829311634765866
-0.8051982332813736,3.132739609782388
-0.9666601492209215,3.420541711409757
-1.1253605637915887,3.709875737087862
-1.2926666273696232,3.9943202502886317
-1.4513797305037108,4.283647315896999
-1.6403005185872224,4.554218814451272
-1.8252017023181153,4.827552954753786
-2.05419441762631,5.065171001913046
-2.26554774912591,5.318606929247787
-2.4784620325492446,5.57073290552617
-2.685827434484687,5.82744206017429
-2.904507747120285,6.074583559857361
-3.1294355070423023,6.31605302545594
-3.370941940128777,6.54094109267572
-3.5996762222089327,6.77880792138724
-3.837123732643552,7.007977465149934
-4.032103112780597,7.274216157532116
-4.244883516524172,7.5264551310923515
-4.450734996310331,7.7843798648226565
-4.670679682620521,8.030396805222932
-4.867673635023779,8.29514835425814
-5.0866617580059055,8.542017149355384
-5.274286424616572,8.813489034601787
-5.590856165075734,8.90667486735344
-5.908735597745275,8.995290138529976
-6.229787039131229,9.071618193555642
-6.554260451556994,9.131759731853059
-6.8740318894923265,9.213284129923634
-7.192933282869367,9.29814814645704
-7.4987840708143985,9.42206463250068
-7.791048336709195,9.575301700082175
-8.073695239733148,9.745627059940794
-8.362342942933092,9.90557237383713
-8.642539672481373,10.07989905782569
-8.927819166755857,10.245777357028734
-9.213715101842011,10.410590931412685
-9.515012328991087,10.545201409876574
-9.823626991461456,10.662064535405118
-10.126151432319231,10.793893829128821
-10.434497687260414,10.911463327995435
-10.749897711874482,11.008534562011723
-11.053482368106344,11.137903632892604
-11.35462288061564,11.272864337268501
-11.643191784396366,11.432951775160392
-11.934975113669239,11.587102638792219
-12.206754349938533,11.774281822284612
-12.475029941401816,11.966448955335574
-12.759951762344858,12.132940864900275
-13.049755873002725,12.290781219201078
-13.328937785771707,12.46672853967699
-13.609470787921154,12.640513564075004
-13.89826155763747,12.80020041803192
-14.205764252628322,12.919958894029916
-14.518095596520048,13.026491197219082
-14.833715465761527,13.12284522225173
