Timestamp_(ms),Type,step,axisZAngle,gyroSumFromstart0,compass,GroundTruth,value_4,value_5,turns,GyroStartByGroundTruth,KalmanFiltered_Heading,EstimatedBias
1740465051764,Gyro,0.0,0.04876359,-0.04876359,7.071808,0.0,0.0,0.0,0,0.0,6.7681399700495275,-0.006630000599009438
1740465051767,Gyro,0.0,0.056529086,-0.10529268,7.071808,0.0,0.0,0.0,0,359.94347091,6.958853458154681,-0.006847717980423473
1740465051782,Gyro,0.0,0.060362253,-0.16565493,6.25177,0.0,0.0,0.0,0,359.88310866,7.015129961822941,-0.007061782106006889
1740465051786,Gyro,0.0,0.055380363,-0.22103529,6.25177,0.0,0.0,0.0,0,359.8277283,7.042010460343167,-0.007144026127752211
1740465051798,Gyro,0.0,0.0956584,-0.3166937,5.4186707,0.0,0.0,0.0,0,359.73206989,6.674564725421257,-0.005432077275716441
1740465051803,Gyro,0.0,0.035148703,-0.3518424,5.4186707,0.0,0.0,0.0,0,359.69692119,6.478476187521505,-0.004692382748204445
1740465051817,Gyro,0.0,0.022412343,-0.37425473,5.423065,0.0,0.0,0.0,0,359.67450886,5.987396302958921,-0.0019146923139105438
1740465051824,Gyro,0.0,0.014850166,-0.3891049,5.423065,0.0,0.0,0.0,0,359.65965869,5.725944521203013,-0.0006378739962726943
1740465051837,Gyro,0.0,0.015605538,-0.40471044,5.9056396,0.0,0.0,0.0,0,359.64405315,5.585710539979334,0.00022043613644773935
1740465051845,Gyro,0.0,0.03196714,-0.43667758,5.9056396,0.0,0.0,0.0,0,359.61208601,5.734088280103269,-0.0005891484449567954
1740465051857,Gyro,0.0,0.019169,-0.45584658,6.312958,0.0,0.0,0.0,0,359.59291701,5.813705828818888,-0.0010866377064486725
1740465051865,Gyro,0.0,0.026785873,-0.48263246,6.312958,0.0,0.0,0.0,0,359.56613113,5.8564233176059535,-0.0013255864429681558
1740465051880,Gyro,0.0,0.043303385,-0.5259358,7.4875183,0.0,0.0,0.0,0,359.52282779,6.06832781974208,-0.002872533331637458
1740465051886,Gyro,0.0,0.05954078,-0.58547664,7.4875183,0.0,0.0,0.0,0,359.46328695,6.181878854298776,-0.003515419309961656
1740465051904,Gyro,0.0,0.1338162,-0.7192928,5.881378,0.0,0.0,0.0,0,359.32947079,6.788217946490537,-0.008576387175159048
1740465051907,Gyro,0.0,0.058836464,-0.7781293,5.881378,0.0,0.0,0.0,0,359.27063429,7.1123468656195,-0.010325824072806489
1740465051922,Gyro,0.0,0.044814855,-0.82294416,4.587616,0.0,0.0,0.0,0,359.22581943,6.542395803345489,-0.006056004387731305
1740465051925,Gyro,0.0,0.029529529,-0.8524737,4.587616,0.0,0.0,0.0,0,359.19628989,6.236173920781798,-0.004541139997146309
1740465051937,Gyro,0.0,0.022367487,-0.87484115,4.3015137,0.0,0.0,0.0,0,359.17392244,5.472475054897237,0.0003721222138463806
1740465051943,Gyro,0.0,0.020356964,-0.8951981,4.3015137,0.0,0.0,0.0,0,359.15356549,5.062542111131183,0.002573063073607094
1740465051955,Gyro,0.0,0.04138968,-0.9365878,4.3583374,0.0,0.0,0.0,0,359.11217579,4.710161753489782,0.004961165195291856
1740465051964,Gyro,0.0,0.024932526,-0.9615203,4.3583374,0.0,0.0,0.0,0,359.08724329,4.547237581221442,0.006035930232866258
1740465051977,Gyro,0.0,0.031162865,-0.9926832,4.7035217,0.0,0.0,0.0,0,359.05608039,4.459881940926708,0.006725769418720075
1740465051984,Gyro,0.0,0.035105992,-1.0277891,4.7035217,0.0,0.0,0.0,0,359.02097449,4.572880771136713,0.0059827697142541825
1740465051996,Gyro,0.0,0.033392455,-1.0611815,4.6798096,0.0,0.0,0.0,0,358.98758209,4.633592049479152,0.0055212305821907455
1740465052003,Gyro,0.0,0.06676489,-1.1279464,4.6798096,0.0,0.0,0.0,0,358.92081719,4.666224417063426,0.005310900380198087
1740465052016,Gyro,0.0,0.035835568,-1.163782,4.8171997,0.0,0.0,0.0,0,358.88498159,4.672732345808916,0.0052615477912718814
1740465052023,Gyro,0.0,0.035634678,-1.1994166,4.8171997,0.0,0.0,0.0,0,358.84934699,4.676125742736724,0.005239830275902549
1740465052036,Gyro,0.0,0.031166729,-1.2305833,3.7335815,0.0,0.0,0.0,0,358.81818029,4.741676510431927,0.004694989947199445
1740465052043,Gyro,0.0,0.03083233,-1.2614156,3.7335815,0.0,0.0,0.0,0,358.78734799,4.776769039192991,0.004449163402522078
1740465052057,Gyro,0.0,0.058153838,-1.3195695,3.3201294,0.0,0.0,0.0,0,358.72919409,4.293781214744531,0.008783053909080313
1740465052065,Gyro,0.0,0.02981779,-1.3493873,3.3201294,0.0,0.0,0.0,0,358.69937629,3.842714721993267,0.012305004490599231
1740465052074,Gyro,0.0,0.0293538,-1.3787411,3.0008545,0.0,0.0,0.0,0,358.67002249,3.60065032792629,0.014146319100334422
1740465052083,Gyro,0.0,0.030847484,-1.4095886,3.0008545,0.0,0.0,0.0,0,358.63917499,3.4707482732013633,0.015126171296856526
