gt_point,step,compass_error,gyro_error
GT0,0.0,0.0,0.0
GT1,16.0,2.682073356051382,6.138192739191673
GT2,33.5,2.9725859070818688,5.470638362312227
GT3,60.5,4.830582784978243,15.306466137400836
GT4,64.0,3.706451000706764,13.501589931670336
GT5,79.0,6.26743024119594,22.39204581216366
GT6,112.5,8.94960911136497,21.839583162187672
GT7,154.5,9.09858064445404,43.620940362601836
