step,heading,x,y
0.0,7.156960983916633,0.0,0.0
0.5,44.21374853332361,0.2440679887187553,0.250860154035633
1.0,3.737027209938958,0.26688000677065316,0.6001159511706267
1.5,316.5213111828319,0.026050353068455878,0.8540865752547513
2.0,7.156960983916633,0.06965613520321826,1.2013595741539107
2.5,16.21037365185822,0.16736387359853552,1.5374446792354544
3.0,20.574681055089968,0.2903636632166975,1.8651199022137686
3.5,20.933179673282723,0.4154112894821017,2.192019108645029
4.0,17.96916598610727,0.5233880863022617,2.524947045815309
4.5,12.36593647323457,0.5983422093810937,2.8668269654266885
5.0,4.806787614331597,0.6276707721010542,3.2155959941674603
5.5,356.48224143248086,0.6061955057149095,3.564936534233517
6.0,343.7234485785151,0.5080996475719023,3.9009085607702314
6.5,339.8950336552456,0.38779026498381647,4.229581121932969
7.0,336.2850579343297,0.24702497002548232,4.550026330565105
7.5,332.8648382284514,0.08739307279583944,4.861502906549343
8.0,328.6478443970419,-0.0947107719557774,5.160397854192623
8.5,325.02958549207904,-0.2953144546316414,5.447204692494783
9.0,321.5815341353345,-0.5128045682719403,5.721427321883259
9.5,320.4330654429514,-0.7357472951956096,5.991235662213646
10.0,318.7650334030691,-0.9664492782060919,6.254440136026367
10.5,318.2782566230756,-1.1993790560897688,6.51567512329848
11.0,317.69428656096386,-1.434959248817297,6.774522516166286
11.5,319.58533018960065,-1.661869450312275,7.04100283524728
12.0,320.70845144491284,-1.8835128023190035,7.311879605220678
12.5,321.2245676560929,-2.102707156782875,7.584741905605262
13.0,320.867839522716,-2.323596114488385,7.856234204508515
13.5,319.97077844393215,-2.54870849086184,8.124234984364648
14.0,317.51352412552745,-2.785104147376977,8.382337858391221
14.5,314.3990419744977,-3.035173679814624,8.627215846267667
15.0,310.95926454723394,-3.299485219008019,8.856648647430053
15.5,307.56737751225523,-3.5769081386127475,9.070041533154924
16.0,304.43188520104246,-3.865587776505257,9.267940665710501
16.5,12.885887056643298,-3.787534273471687,9.609126319957845
17.0,9.752736200154288,-3.72824547411972,9.954068109643297
17.5,7.0416582236914,-3.6853386364396568,10.301428158123683
18.0,4.934056111890186,-3.655235441999324,10.650131180313751
18.5,3.787231106986667,-3.6321174066763513,10.999366854955971
19.0,2.99319253555808,-3.6138413495643698,11.348889366014186
19.5,2.6205178542897443,-3.5978390973254686,11.698523357386996
20.0,3.008656592439422,-3.5794687052060405,12.048040923030525
20.5,3.8755759909356584,-3.5558122079122687,12.397240536626803
21.0,275.3627084298695,-3.904280259707754,12.429951649078978
21.5,277.9633805580159,-4.250905145363925,12.47844070602842
22.0,278.27493319613296,-4.597261242847762,12.528813851014284
22.5,278.0264908554987,-4.94383250839422,12.577684679711238
23.0,277.79038442202375,-5.290602219367563,12.625126934626703
23.5,277.61270041744706,-5.637517389159762,12.671493570994354
24.0,277.4497259225141,-5.9845630425424154,12.716873241202576
24.5,276.77240979632904,-6.332120885767346,12.758147271934188
25.0,276.58259921117053,-6.679813554980213,12.798269681827316
25.5,273.85988163679986,-7.029019635420045,12.821830526121387
26.0,275.20416953480577,-7.377576865579236,12.853577294519965
26.5,275.88459094703194,-7.7257325146920195,12.88946105116356
27.0,277.2094172628214,-8.072965445443806,12.933384755487365
27.5,278.316787311857,-8.419284653334149,12.984010897412324
28.0,279.00141275481224,-8.76497422240354,13.038771483937841
28.5,278.53471422915027,-9.111098367003677,13.09071449621883
29.0,274.6809018100591,-9.459930992302414,13.11927670074143
29.5,272.42345645209895,-9.809617953282688,13.134076339939092
30.0,271.07934067243247,-10.159555852506832,13.140669266951626
30.5,270.91848367995124,-10.50951088214609,13.146279724168824
31.0,280.07359875350454,-10.85411524100553,13.207499295018955
31.5,277.5436378152895,-11.20108604770796,13.253447736736435
32.0,277.0365820160087,-11.548449896222325,13.296323799350555
32.5,278.0450219440898,-11.895005337423038,13.34530671651745
33.0,280.7042587273522,-12.238914985130505,13.410315594478279
33.5,285.5112043799518,-12.576167346531678,13.50391497871414
34.0,290.8221666257838,-12.903308224386581,13.628328989325176
34.5,297.9507497804795,-13.212481009381538,13.792378338663912
35.0,305.18804682860446,-13.49852380737635,13.99406997883598
35.5,312.9975303919305,-13.754507891316997,14.232758371450846
36.0,320.0247522455475,-13.979367705603627,14.50097109284747
36.5,325.7691558317569,-14.176252694801228,14.790343346231689
