Quasi_Static_Interval_Number,Compass_Heading_mean,Compass_Heading_std,True_Heading_mean,True_Heading_std,Step_mean,Step_min,Step_max,Heading_Difference
0,293.03031999999996,4.19067724827382,246.56473047662197,103.04268439107763,25.0,23.5,26.5,46.465589523377986
1,337.6254044444444,7.052289784651712,195.5908646615065,134.88050957766794,46.0,44.0,48.0,142.03453978293794
2,282.36247625,6.978957198331595,42.99995133585313,96.73157373675788,90.75,87.0,94.5,239.36252491414686
