Timestamp_(ms),Type,step,Magnetic_Field_Magnitude,gyroSumFromstart0,compass,GroundTruth,value_4,value_5,turns,GroundTruthHeadingComputed,GyroStartByGroundTruth
1740465052514,Compass,0.0,71.13219427586921,-1.1909447,5.895752,0.0,0.0,0.0,0,7.618305671426299,358.8090553
1740465052533,Compass,0.0,71.01039756613112,-1.0308496,6.1451416,0.0,0.0,0.0,0,7.618305671426299,358.9691504
1740465052553,Compass,0.0,71.00778456444054,-0.93207085,5.290344,0.0,0.0,0.0,0,7.618305671426299,359.06792915
1740465052573,Compass,0.0,70.82946067844934,-0.835497,5.3930664,0.0,0.0,0.0,0,7.618305671426299,359.164503
1740465052594,Compass,0.0,70.50047096473895,-0.65476304,5.796356,0.0,0.0,0.0,0,7.618305671426299,359.34523696
1740465052613,Compass,0.0,70.64642927105375,-0.47957954,6.58609,0.0,0.0,0.0,0,7.618305671426299,359.52042046
1740465052634,Compass,0.0,70.87759034067115,-0.5783384,25.964447,0.0,0.0,0.0,0,7.618305671426299,359.4216616
1740465052653,Compass,0.0,71.04317569267297,-0.43250576,4.5099487,0.0,0.0,0.0,0,7.618305671426299,359.56749424
1740465053188,Compass,0.0,70.84627945418164,-0.334962,5.392853,0.0,0.0,0.0,0,7.618305671426299,359.665038
1740465053190,Compass,0.0,70.77553094996885,-0.3250356,7.6123962,0.0,0.0,0.0,0,7.618305671426299,359.6749644
1740465053192,Compass,0.0,70.897455657802,-0.33552396,9.879211,0.0,0.0,0.0,0,7.618305671426299,359.66447604
1740465053193,Compass,0.0,70.8806765804334,-0.34430382,8.491943,0.0,0.0,0.0,0,7.618305671426299,359.65569618
1740465053195,Compass,0.0,70.80659728266852,-0.37455925,7.6781616,0.0,0.0,0.0,0,7.618305671426299,359.62544075
1740465053197,Compass,0.0,70.83668496972454,-0.46417937,6.6783447,0.0,0.0,0.0,0,7.618305671426299,359.53582063
1740465053199,Compass,0.0,70.65571787725322,-0.72992593,6.428253,0.0,0.0,0.0,0,7.618305671426299,359.27007407
1740465053201,Compass,0.0,70.46009508934827,-0.9104807,5.1097717,0.0,0.0,0.0,0,7.618305671426299,359.0895193
1740465053203,Compass,0.0,70.21401435967039,-1.0355037,4.0867615,0.0,0.0,0.0,0,7.618305671426299,358.9644963
1740465053204,Compass,0.0,70.33271931505278,-1.1178806,3.7579956,0.0,0.0,0.0,0,7.618305671426299,358.8821194
1740465053206,Compass,0.0,70.22347141447794,-1.119656,4.3066406,0.0,0.0,0.0,0,7.618305671426299,358.880344
1740465053208,Compass,0.0,70.2171575809645,-1.1153669,3.343628,0.0,0.0,0.0,0,7.618305671426299,358.8846331
1740465053210,Compass,0.0,70.30816653312758,-1.1225225,2.940216,0.0,0.0,0.0,0,7.618305671426299,358.8774775
1740465053211,Compass,0.0,70.6217089941188,-1.1240435,2.32724,0.0,0.0,0.0,0,7.618305671426299,358.8759565
1740465053213,Compass,0.0,70.72537115491158,-1.0990114,2.464325,0.0,0.0,0.0,0,7.618305671426299,358.9009886
1740465053215,Compass,0.0,70.96235797942455,-1.0658823,3.1774902,0.0,0.0,0.0,0,7.618305671426299,358.9341177
1740465053217,Compass,0.0,70.99818439579987,-1.039193,3.6939087,0.0,0.0,0.0,0,7.618305671426299,358.960807
1740465053219,Compass,0.0,71.01628334403316,-0.99153477,3.9786987,0.0,0.0,0.0,0,7.618305671426299,359.00846523
1740465053221,Compass,0.0,71.15207085883024,-0.91954166,4.0690002,0.0,0.0,0.0,0,7.618305671426299,359.08045834
1740465053223,Compass,0.0,71.21871571960561,-0.7362454,4.388275,0.0,0.0,0.0,0,7.618305671426299,359.2637546
1740465053224,Compass,0.0,71.12835009684957,-0.5889026,5.933777,0.0,0.0,0.0,0,7.618305671426299,359.4110974
1740465053226,Compass,0.0,71.07459219897079,-0.45936397,7.815674,0.0,0.0,0.0,0,7.618305671426299,359.54063603
1740465053228,Compass,0.0,70.80411468445884,-0.33406508,8.214661,0.0,0.0,0.0,0,7.618305671426299,359.66593492
1740465053229,Compass,0.0,70.55843101642779,-0.2787449,7.452362,0.0,0.0,0.0,0,7.618305671426299,359.7212551
1740465053231,Compass,0.0,70.48988735095269,-0.20552738,6.3986206,0.0,0.0,0.0,0,7.618305671426299,359.79447262
1740465053233,Compass,0.0,70.49977836844596,-0.17498991,6.952484,0.0,0.0,0.0,0,7.618305671426299,359.82501009
1740465053234,Compass,0.0,70.53572897829865,-0.16169065,7.64209,0.0,0.0,0.0,0,7.618305671426299,359.83830935
1740465053236,Compass,0.0,70.58950988815548,-0.13754284,8.266266,0.0,0.0,0.0,0,7.618305671426299,359.86245716
1740465053238,Compass,0.0,70.6429733766919,-0.1081091,9.191895,0.0,0.0,0.0,0,7.618305671426299,359.8918909
1740465053253,Compass,0.0,70.41556335427559,-0.099694565,9.19278,0.0,0.0,0.0,0,7.618305671426299,359.900305435
1740465053273,Compass,0.0,70.08371110679,-0.17031509,8.26944,0.0,0.0,0.0,0,7.618305671426299,359.82968491
1740465053293,Compass,0.0,70.03935835478507,-0.27311987,7.493286,0.0,0.0,0.0,0,7.618305671426299,359.72688013
1740465053344,Compass,0.0,70.30849988621574,-0.44151884,7.239929,0.0,0.0,0.0,0,7.618305671426299,359.55848116
1740465053350,Compass,0.0,70.31722206365949,-0.5408231,6.650696,0.0,0.0,0.0,0,7.618305671426299,359.4591769
1740465053355,Compass,0.0,70.34124412462435,-0.6377653,6.5744934,0.0,0.0,0.0,0,7.618305671426299,359.3622347
1740465053373,Compass,0.0,70.3374955571351,-0.778211,5.7464905,0.0,0.0,0.0,0,7.618305671426299,359.221789
1740465053402,Compass,0.0,70.36542452618332,-0.8497399,4.4377136,0.0,0.0,0.0,0,7.618305671426299,359.1502601
1740465053413,Compass,0.0,70.29196922479836,-0.8792865,4.6927185,0.0,0.0,0.0,0,7.618305671426299,359.1207135
1740465053433,Compass,0.0,70.45510538633805,-0.85885555,4.9104004,0.0,0.0,0.0,0,7.618305671426299,359.14114445
1740465053453,Compass,0.0,70.61451802745665,-0.81905925,6.305023,0.0,0.0,0.0,0,7.618305671426299,359.18094075
1740465053475,Compass,0.0,70.56238928246407,-0.8065949,7.5654297,0.0,0.0,0.0,0,7.618305671426299,359.1934051
1740465053493,Compass,0.0,70.54267879269968,-0.83459496,7.113434,0.0,0.0,0.0,0,7.618305671426299,359.16540504
1740465053513,Compass,0.0,70.25758967008476,-0.88267505,5.9532776,0.0,0.0,0.0,0,7.618305671426299,359.11732495
1740465053533,Compass,0.0,69.93481898346488,-0.9516826,6.2982483,0.0,0.0,0.0,0,7.618305671426299,359.0483174
1740465053555,Compass,0.0,69.83252846095435,-0.9703579,6.641815,0.0,0.0,0.0,0,7.618305671426299,359.0296421
1740465053573,Compass,0.0,69.72585827725608,-1.0013398,5.7510376,0.0,0.0,0.0,0,7.618305671426299,358.9986602
1740465053593,Compass,0.0,69.58125308766722,-1.0635477,4.9369507,0.0,0.0,0.0,0,7.618305671426299,358.9364523
1740465053613,Compass,0.0,69.58978575372969,-1.1620127,4.1720276,0.0,0.0,0.0,0,7.618305671426299,358.8379873
1740465053633,Compass,0.0,69.56168575444387,-1.2958131,2.5220032,0.0,0.0,0.0,0,7.618305671426299,358.7041869
1740465053653,Compass,0.0,69.71199121205763,-1.3217071,2.7389832,0.0,0.0,0.0,0,7.618305671426299,358.6782929
1740465053673,Compass,0.0,69.82285062033775,-1.2933279,4.211731,0.0,0.0,0.0,0,7.618305671426299,358.7066721
1740465053693,Compass,0.0,69.96176411083414,-1.268953,4.418152,0.0,0.0,0.0,0,7.618305671426299,358.731047
1740465053713,Compass,0.0,70.01210832777427,-1.2252709,3.631897,0.0,0.0,0.0,0,7.618305671426299,358.7747291
